Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1598385540,-7.0,2020-08-25 12:59:00,8.22,8.22,8.21,8.21,400
1598448600,-7.0,2020-08-26 06:30:00,7.76,8.23,7.76,8.19,4250
1598448780,-7.0,2020-08-26 06:33:00,8.15,8.18,8.15,8.16,5000
1598450640,-7.0,2020-08-26 07:04:00,8.19,8.19,8.19,8.19,100
1598452020,-7.0,2020-08-26 07:27:00,8.16,8.16,8.16,8.16,1000
1598455260,-7.0,2020-08-26 08:21:00,8.06,8.06,8.06,8.06,100
1598455320,-7.0,2020-08-26 08:22:00,8.06,8.06,8.06,8.06,100
1598455440,-7.0,2020-08-26 08:24:00,8.07,8.07,8.07,8.07,148
1598455680,-7.0,2020-08-26 08:28:00,8.08,8.08,8.08,8.08,1000
1598456820,-7.0,2020-08-26 08:47:00,8.05,8.05,8.05,8.05,12600
1598457300,-7.0,2020-08-26 08:55:00,8.05,8.05,8.05,8.05,100
1598458380,-7.0,2020-08-26 09:13:00,8.03,8.03,8.03,8.03,5000
1598458500,-7.0,2020-08-26 09:15:00,8.04,8.04,8.04,8.04,3047
1598458620,-7.0,2020-08-26 09:17:00,8.06,8.06,8.06,8.06,2000
1598459400,-7.0,2020-08-26 09:30:00,8.06,8.06,8.06,8.06,400
1598459520,-7.0,2020-08-26 09:32:00,8.06,8.06,8.06,8.06,4600
1598464020,-7.0,2020-08-26 10:47:00,8.01,8.0102,8,8,1435
1598465460,-7.0,2020-08-26 11:11:00,8,8,8,8,400
1598465820,-7.0,2020-08-26 11:17:00,7.98,7.98,7.98,7.98,2999
1598466180,-7.0,2020-08-26 11:23:00,8.01,8.01,8.01,8.01,500
1598467980,-7.0,2020-08-26 11:53:00,7.94,7.94,7.94,7.94,5175
1598468640,-7.0,2020-08-26 12:04:00,7.94,7.94,7.94,7.94,25000
1598469000,-7.0,2020-08-26 12:10:00,7.95,7.95,7.95,7.95,100
1598469060,-7.0,2020-08-26 12:11:00,7.94,7.94,7.94,7.94,100
1598469120,-7.0,2020-08-26 12:12:00,7.94,7.94,7.94,7.94,300
1598469180,-7.0,2020-08-26 12:13:00,7.93,7.93,7.93,7.93,200
1598469240,-7.0,2020-08-26 12:14:00,7.93,7.93,7.93,7.93,100
1598469300,-7.0,2020-08-26 12:15:00,7.94,7.94,7.94,7.94,200
1598469360,-7.0,2020-08-26 12:16:00,7.93,7.93,7.93,7.93,200
1598469480,-7.0,2020-08-26 12:18:00,7.93,7.93,7.93,7.93,200
1598469600,-7.0,2020-08-26 12:20:00,7.93,7.93,7.93,7.93,400
